name,nu,n_f,final_total,final_pde,final_ic,final_bc,pde_rmse_fixed,ic_rmse_fixed,bc_max_abs_fixed,max_abs_ux_t0.5
nu_high,0.03183098861837907,2000,0.0002828533761203289,0.00020858713833149523,6.242042582016438e-05,1.1845805602206383e-05,0.014785117469727993,0.007204011548310518,0.018363142386078835,11.635031700134277
baseline,0.003183098861837907,2000,0.024757007136940956,0.009062133729457855,0.015436639077961445,0.00025823561009019613,0.09513194113969803,0.12270161509513855,0.03790457174181938,69.5038070678711
nu_low,0.0003183098861837907,2000,0.08473183959722519,0.03170805424451828,0.05296739190816879,5.6396034779027104e-05,0.17918363213539124,0.23657940328121185,0.030435506254434586,3.367480993270874
nf_500,0.003183098861837907,500,0.0460309162735939,0.021151408553123474,0.023769155144691467,0.0011103517608717084,0.13431787490844727,0.1557680070400238,0.05078595504164696,45.922237396240234
nf_10000,0.003183098861837907,10000,0.0217819232493639,0.009953164495527744,0.01171069871634245,0.00011806032853201032,0.09098163992166519,0.10187451541423798,0.04170285910367966,77.36023712158203
